source,name,username,profile_url,phone,whatsapp_url,trade,area,followers,bio,generated_site_url
batch1-site-live,Sakthi | Digital Marketing Freelancer in Dubai,sakthidigital_dubai,https://www.instagram.com/sakthidigital_dubai/,+971522035826,https://wa.me/971522035826,Digital creator,,,🚀 Digital Marketing Freelancer | Dubai 🇦🇪 | SEO • SMM  • Google Ads • Meta Ads • Websites | 📈 Helping Businesses Grow | 👇 Free Consultation,https://uae-preview-sites-batch1.vercel.app/sakthidigital-dubai
batch1-site-live,Freelance photographer Dubai/SHJ,photographerindubai_shj,https://www.instagram.com/photographerindubai_shj/,+971585487357,https://wa.me/971585487357,,,372,🧿Hire the best Photographer in Dubai and Sharjah | 🟢WA +971585487357 | 🚀Starts Aed 1299/-,https://uae-preview-sites-batch1.vercel.app/freelance-photographer-dubai-shj
batch1-site-live,Fatmaelzahraa kabil,fatmakabeelmakeupartist,https://www.instagram.com/fatmakabeelmakeupartist/,+971585878503,https://wa.me/971585878503,Makeup Artist,,50876,Celebrity /Bridal Makeup Artist | Licensed | Permit  1568884 | 📍UAE🇦🇪  | For reservations call us on +971 58 587 8503 | fatma.m.kabeel@gmail.com,https://uae-preview-sites-batch1.vercel.app/fatmakabeelmakeupartist
batch1-site-live,Henna by Hisa,henna_by_hisa,https://www.instagram.com/henna_by_hisa/,,,Artist,,7885,"Licensed 🇦🇪1605390 | Dubai Henna Artist & supplier | 10,000+ satisfied customers  🌎 | Bridal ,events  ,white henna,nail cone,stencils,Jagua etc. | Since 2020",https://uae-preview-sites-batch1.vercel.app/henna-by-hisa
batch1-site-live,Nails Home Service UAE,nails_home_service.uae,https://www.instagram.com/nails_home_service.uae/,+971507849902,https://wa.me/971507849902,,,1396,Nail artist with good experience at home 🇰🇬 🇦🇪 | ✨️ PROFESSIONAL PRODUCTS 🧴 | ✨️ Russian mani/pedi & extensions | ⏱️ Mani/pedi done 2 hours,https://uae-preview-sites-batch1.vercel.app/nails-home-service-uae
batch1-site-live,"🧿t’s kitchen🧿 Home Baker Dubai 🧑‍🍳, Cake Artist, Dubai",deytulika,https://www.instagram.com/deytulika/,,,Dessert Shop,,2187,Customized Cakes | Homebaker |  | Cookies | Cake Artist | Based in Dubai 🇦🇪,https://uae-preview-sites-batch1.vercel.app/deytulika
batch1-site-live,Dubai Henna Artist 🇦🇪| Amis Art,ameenahamidali,https://www.instagram.com/ameenahamidali/,+971551942931,https://wa.me/971551942931,Arts & entertainment,,6258,Licensed Henna artist in Dubai Since 2017  | | Corporate Events | Cultural event | Clients: Emaar | Sharjah TV | Saif Zone | +971 551942931,https://uae-preview-sites-batch1.vercel.app/ameenahamidali
batch1-site-live,Gerges Antwan Photography,gerges_antwan_photography,https://www.instagram.com/gerges_antwan_photography/,,,Photography Videography,,56033,"Beauty • Fashion • Commercial  | WORLDWIDE , Currently in Egypt 📍",https://uae-preview-sites-batch1.vercel.app/gerges-antwan-photography
batch1-site-live,Shazas Henna Dubai,shazas_henna,https://www.instagram.com/shazas_henna/,+971568588716,https://wa.me/971568588716,Artist,,109358,"Certified Henna Artist–Dubai 🇦🇪 | Bridal • Party • Festive Henna | 100% Organic | Home Service | 📍 Dubai, UAE | 📲 WhatsApp for Booking www.shazashenna.com",https://uae-preview-sites-batch1.vercel.app/shazas-henna-dubai
batch1-site-live,Bliss Henna by Zahra,blisshennabyzahra,https://www.instagram.com/blisshennabyzahra/,,,Artist,,137668,6 years experienced henna artist Bridal & Non Bridal Henna | 100% Organic fresh henna 🌿  | DM to book or order Henna Cones | 📍Dubai | Ajman | Abu Dhabi,https://uae-preview-sites-batch1.vercel.app/bliss-henna-by-zahra
batch1-site-live,Chef Jamila private dining,chef_jamila__,https://www.instagram.com/chef_jamila__/,,,Personal Chef,,10747,"Eat, Share, Drink & Enjoy a Fine Dining culinary experience from your own dining table with a Private Chef! | Discover How:",https://uae-preview-sites-batch1.vercel.app/chef-jamila-private-dining
batch1-site-live,Magical Hands | Dubai Cake Maker,cakes.magicalhands,https://www.instagram.com/cakes.magicalhands/,,,Bakery,,28834,🎂Baking and Creating Magic✨👩🏻‍🍳🪬 | 📍Dubai 🇦🇪 | 🌸 Making Adorable bake content  | 💌cakes.magicalhands@gmail.com,https://uae-preview-sites-batch1.vercel.app/cakes-magicalhands
batch1-site-live,Fahad,fahadhados,https://www.instagram.com/fahadhados/,,,,,1236,•𝗧𝗥𝗫 | •𝗕𝗢𝗗𝗬 𝗪𝗘𝗜𝗚𝗛𝗧 | •𝗕𝗢𝗗𝗬 𝗧𝗢𝗡𝗜𝗡𝗚 | •𝗙𝗔𝗧 𝗟𝗢𝗦𝗦 | •𝗠𝗨𝗦𝗖𝗟𝗘 𝗕𝗨𝗜𝗟𝗗𝗜𝗡𝗚  | •𝗕𝗢𝗫𝗜𝗡𝗚 & 𝗞𝗜𝗖𝗞𝗕𝗢𝗫𝗜𝗡𝗚 | ---- ---- ---- | ➨ DM FOR INQUIRIES | ---- ---- ----,https://uae-preview-sites-batch1.vercel.app/fahadhados
batch1-site-live,Azal Mehandi Art,azal_mehandi_art,https://www.instagram.com/azal_mehandi_art/,+971503845765,https://wa.me/971503845765,Artist,,1415,👩🏻‍🎨LICENSED HENNA ARTIST | UAE🇦🇪 | 💍 Bridals | 🎉 Parties | 🌸 All occasions  | 📩+971 50 384 5765 | DM for bookings | 🏡Home service available  | 🇺🇸~🇦🇪,https://uae-preview-sites-batch1.vercel.app/azal-mehandi-art
batch1-site-live,Shazna Dubai Henna Artist 🇦🇪,shazhennaartist,https://www.instagram.com/shazhennaartist/,,,Artist,,214,"•TEMPORARILY CLOSED❗️ | •Henna for every occassion! 🎊 | •Events, Weddings & Festivals 🥳 | •Henna Artist #dubaihennaartist #uaehennaartist",https://uae-preview-sites-batch1.vercel.app/shazhennaartist
batch1-site-live,Studio Morcen UAE,studiomorcen_uae,https://www.instagram.com/studiomorcen_uae/,,,Photography Videography,,1573,Licensed photo & video company capturing timeless memories 📸 | Co-Owned by @bellamorcen  | 💍 @weddingsbystudiomorcenuae | ✨ @every.content | Google Reviews ⬇️,https://uae-preview-sites-batch1.vercel.app/studio-morcen-uae
